type_var,YEAR,typeTotal
cod,1950,82.909
cod,1951,74.982
cod,1952,91.144
cod,1953,94.962
cod,1954,95.974
cod,1955,98.867
cod,1956,97.045
cod,1957,116.542
cod,1958,128.701
cod,1959,128.199
cod,1960,123.696
cod,1961,128.163
cod,1962,114.983
cod,1963,129.636
cod,1964,136.955
cod,1965,194.378
cod,1966,235.739
cod,1967,266.868
cod,1968,301.987
cod,1969,212.501
cod,1970,238.99
cod,1971,339.616
cod,1972,368.72
cod,1973,257.408
cod,1974,241.258
cod,1975,220.284
cod,1976,252.804
cod,1977,232.145
cod,1978,314.146
cod,1979,268.49
cod,1980,291.28
cod,1981,338.489
cod,1982,301.985
cod,1983,276.863
cod,1984,233.095
cod,1985,221.947
cod,1986,196.209
cod,1987,208.574
cod,1988,174.904
cod,1989,139.291
cod,1990,123.748
cod,1991,108.825
cod,1992,122.534
cod,1993,120.083
cod,1994,112.223
cod,1995,141.736
cod,1996,132.149
cod,1997,128.682
cod,1998,145.152
cod,1999,96.568
cod,2000,79.151
cod,2001,55.526
cod,2002,55.706
cod,2003,34.664
cod,2004,30.629
cod,2005,29.049
cod,2006,29.414
cod,2007,26.5415
cod,2008,28.11191
cod,2009,33.62
cod,2010,37.83372
cod,2011,33.36566
cod,2012,33.18346
cod,2013,31.60529
cod,2014,35.62906
cod,2015,38.07902
cod,2016,40.02283
cod,2017,39.87484
cod,2018,36.16884988
haddock,1950,58.638
haddock,1951,58.075
haddock,1952,53.476
haddock,1953,61.787
haddock,1954,71.518
haddock,1955,88.893
haddock,1956,95.822
haddock,1957,106.7
haddock,1958,97.502
haddock,1959,80.66
haddock,1960,68.119
haddock,1961,69.122
haddock,1962,52.809
haddock,1963,64.536
haddock,1964,199.437
haddock,1965,223.339
haddock,1966,269.9
haddock,1967,167.903
haddock,1968,140.051
haddock,1969,640.251
haddock,1970,672.775
haddock,1971,260.469
haddock,1972,216.545
haddock,1973,199.17
haddock,1974,198.069
haddock,1975,180.304
haddock,1976,213.665
haddock,1977,160.446
haddock,1978,96.074
haddock,1979,91.389
haddock,1980,112.289
haddock,1981,143.462
haddock,1982,186.533
haddock,1983,174.815
haddock,1984,142.616
haddock,1985,176.639
haddock,1986,171.259
haddock,1987,113.127
haddock,1988,108.06
haddock,1989,68.319
haddock,1990,47.302
haddock,1991,46.977
haddock,1992,55.472
haddock,1993,82.221
haddock,1994,88.834
haddock,1995,77.684
haddock,1996,78.122
haddock,1997,76.65
haddock,1998,76.636
haddock,1999,65.246
haddock,2000,48.19
haddock,2001,41.93
haddock,2002,58.672
haddock,2003,44.447
haddock,2004,48.832
haddock,2005,31.901
haddock,2006,38.02735
haddock,2007,32.42323
haddock,2008,32.02992
haddock,2009,32.98873
haddock,2010,29.39344
haddock,2011,28.54915
haddock,2012,33.00094
haddock,2013,39.18616
haddock,2014,37.10905
haddock,2015,31.71504
haddock,2016,31.56632
haddock,2017,31.19494
haddock,2018,29.2392856
herring,1950,1158.74
herring,1951,1266.887
herring,1952,999.05
herring,1953,1260.02
herring,1954,1396.419
herring,1955,1150.142
herring,1956,1254.06
herring,1957,1169.713
herring,1958,977.889
herring,1959,1042.708
herring,1960,882.353
herring,1961,856.351
herring,1962,836.605
herring,1963,1022.558
herring,1964,1281.644
herring,1965,1536.938
herring,1966,1221.938
herring,1967,1069.23
herring,1968,1141.13
herring,1969,838.747
herring,1970,835.732
herring,1971,735.134
herring,1972,711.067
herring,1973,738.442
herring,1974,430.581
herring,1975,436.445
herring,1976,263.201
herring,1977,157.582
herring,1978,109.656
herring,1979,80.238
herring,1980,95.617
herring,1981,158.684
herring,1982,166.683
herring,1983,332.243
herring,1984,395.69
herring,1985,593.882
herring,1986,619.152
herring,1987,648.433
herring,1988,688.18
herring,1989,655.676
herring,1990,565.492
herring,1991,531.98
herring,1992,573.665
herring,1993,561.657
herring,1994,552.629
herring,1995,584.911
herring,1996,268.042
herring,1997,282.096
herring,1998,348.367
herring,1999,335.134
herring,2000,358.253
herring,2001,349.675
herring,2002,341.553
herring,2003,476.122
herring,2004,521.721
herring,2005,631.954
herring,2006,537.5568
herring,2007,401.00981
herring,2008,249.64761
herring,2009,235.29113
herring,2010,244.99202
