StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status,total
nep.fu.3-4,crustacean,0.453291139240506,8435.242,7100,1336,7.9,3.581,2019,2018,NA,NA,NA,GREY,8435.242
nep.fu.6,crustacean,1.02795566502463,1997,1807,190,8.12,8.347,2019,2019,1.35547785547786,1163,858,RED,8435.242
nep.fu.7,crustacean,0.373333333333333,NA,4418,68,7.5,2.8,2019,2019,2.16841344416335,6,2.767,GREEN,8435.242
nep.fu.8,crustacean,0.791411042944785,NA,2690,275,16.3,12.9,2019,2018,3.51027397260274,1025,292,GREEN,8435.242
nep.fu.9,crustacean,0.991525423728813,NA,1399,4,11.8,11.7,2019,2018,1.59160305343511,417,262,GREEN,8435.242
