StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status
nep.fu.34,crustacean,NA,NA,550,NA,NA,NA,2018,2017,NA,0,NA,GREY
nep.fu.34,crustacean,NA,NA,550,NA,NA,NA,2018,2017,NA,0,NA,GREY
nep.fu.5,crustacean,NA,NA,2111,885,7.5,NA,2018,2017,NA,NA,NA,GREY
nep.fu.6,crustacean,1.02795566502463,1997,1807,190,8.12,8.347,2019,2019,1.35547785547786,1163,858,RED
nep.fu.6,crustacean,1.02795566502463,1997,1807,190,8.12,8.347,2019,2019,1.35547785547786,1163,858,RED
nep.fu.6,crustacean,1.02795566502463,1997,1807,190,8.12,8.347,2019,2019,1.35547785547786,1163,858,RED
nep.fu.6,crustacean,1.02795566502463,1997,1807,190,8.12,8.347,2019,2019,1.35547785547786,1163,858,RED
nep.fu.7,crustacean,0.373333333333333,NA,4418,68,7.5,2.8,2019,2019,2.16841344416335,6,2.767,GREEN
nep.fu.7,crustacean,0.373333333333333,NA,4418,68,7.5,2.8,2019,2019,2.16841344416335,6,2.767,GREEN
nep.fu.7,crustacean,0.373333333333333,NA,4418,68,7.5,2.8,2019,2019,2.16841344416335,6,2.767,GREEN
nep.fu.7,crustacean,0.373333333333333,NA,4418,68,7.5,2.8,2019,2019,2.16841344416335,6,2.767,GREEN
nep.fu.8,crustacean,0.791411042944785,NA,2690,275,16.3,12.9,2019,2018,3.51027397260274,1025,292,GREEN
nep.fu.8,crustacean,0.791411042944785,NA,2690,275,16.3,12.9,2019,2018,3.51027397260274,1025,292,GREEN
nep.fu.8,crustacean,0.791411042944785,NA,2690,275,16.3,12.9,2019,2018,3.51027397260274,1025,292,GREEN
nep.fu.8,crustacean,0.791411042944785,NA,2690,275,16.3,12.9,2019,2018,3.51027397260274,1025,292,GREEN
nep.fu.9,crustacean,0.991525423728813,NA,1399,4,11.8,11.7,2019,2018,1.59160305343511,417,262,GREEN
nop.27.3a4,pelagic,NA,NA,36130,NA,NA,0.311,2019,2019,NA,94420,NA,GREY
ory.27.nea,demersal,NA,NA,90,NA,NA,NA,2016,2015,NA,NA,NA,GREY
ple.27.21-23,benthic,1.0972972972973,NA,3459,1387,0.37,0.406,2019,2019,2.14540540540541,11907,5550,RED
ple.27.420,benthic,0.890476190476191,105787,57800,47877,0.21,0.187,2019,2019,1.86374046004332,1052266,564599,GREEN
ple.27.420,benthic,0.890476190476191,105787,57800,47877,0.21,0.187,2019,2019,1.86374046004332,1052266,564599,GREEN
ple.27.420,benthic,0.890476190476191,105787,57800,47877,0.21,0.187,2019,2019,1.86374046004332,1052266,564599,GREEN
ple.27.420,benthic,0.890476190476191,105787,57800,47877,0.21,0.187,2019,2019,1.86374046004332,1052266,564599,GREEN
ple.27.7d,benthic,0.932,6826,3980,2846,0.25,0.233,2019,2019,1.60624951599164,41483,25826,GREEN
ple.27.7e,benthic,1.27975802628744,NA,1880,623.8,0.478996800495407,0.613,2019,2019,2.84049452517397,1.875,0.660096325968157,RED
pok.27.3a46,demersal,0.986225895316804,94334,86540,7752,0.363,0.358,2019,2019,1.52993333243907,228110,149098,GREEN
pol.27.3a4,demersal,NA,1906,1904,2,NA,NA,2018,2017,NA,NA,NA,GREY
por.27.nea,elasmobranch,NA,NA,7,89,NA,NA,2019,2018,NA,4,NA,GREY
raj.27.3a47d,elasmobranch,NA,NA,NA,NA,NA,NA,2019,2018,NA,NA,NA,GREY
raj.27.67a-ce-h,elasmobranch,NA,NA,787,NA,NA,NA,2018,2017,NA,NA,NA,GREY
rja.27.nea,elasmobranch,NA,NA,1,NA,NA,NA,2019,2018,NA,NA,NA,GREY
rjb.27.3a4,elasmobranch,NA,NA,1,NA,NA,NA,2019,2018,NA,2.699,NA,GREY
rjb.27.67a-ce-k,elasmobranch,NA,NA,117,NA,NA,NA,2018,2017,NA,NA,NA,GREY
rjc.27.3a47d,elasmobranch,NA,NA,2219,NA,NA,NA,2019,2018,NA,2.364,NA,GREY
rjc.27.7e,elasmobranch,NA,NA,371,NA,NA,NA,2018,2018,NA,168,NA,GREY
rje.27.7de,elasmobranch,NA,NA,36,NA,NA,NA,2018,2017,NA,NA,NA,GREY
rjf.27.67,elasmobranch,NA,NA,219,NA,NA,NA,2018,2017,NA,NA,NA,GREY
rjh.27.4a6,elasmobranch,NA,NA,27,4,NA,NA,2019,2018,NA,3,NA,GREY
rjh.27.4c7d,elasmobranch,NA,NA,251,NA,NA,NA,2019,2018,NA,2.61,NA,GREY
rjh.27.7e,elasmobranch,NA,NA,492,NA,NA,NA,2018,2017,NA,NA,NA,GREY
rji.27.67,elasmobranch,NA,NA,63,NA,NA,NA,2018,2017,NA,NA,NA,GREY
rjm.27.3a47d,elasmobranch,NA,NA,355,NA,NA,NA,2019,2018,NA,2.22,NA,GREY
rjm.27.7ae-h,elasmobranch,NA,NA,762,NA,NA,NA,2018,2017,NA,0.55,NA,GREY
rjn.27.3a4,elasmobranch,NA,NA,180,NA,NA,NA,2019,2018,NA,1.275,NA,GREY
rjn.27.678abd,elasmobranch,NA,NA,2929,NA,NA,NA,2018,2017,NA,1.479,NA,GREY
rjr.27.23a4,elasmobranch,NA,NA,1,NA,NA,NA,2019,2018,NA,0.28,NA,GREY
rju.27.7de,elasmobranch,NA,1376,139,2434,NA,NA,2018,2017,NA,800.8,NA,GREY
rng.27.1245a8914ab,demersal,NA,NA,240,NA,NA,NA,2019,2018,NA,NA,NA,GREY
rng.27.3a,demersal,NA,NA,1,2,NA,NA,2018,2017,NA,7,NA,GREY
rng.27.5b6712b,demersal,NA,NA,1662,NA,NA,NA,2018,2017,NA,NA,NA,GREY
san.27.6a,demersal,NA,NA,0,NA,NA,NA,2018,2017,NA,NA,NA,GREY
san.sa.1r,demersal,NA,130460,130460,NA,NA,0.633,2019,2019,NA,97636,NA,GREY
san.sa.2r,demersal,NA,20568,20568,NA,NA,0.206,2019,2019,NA,55770,NA,GREY
san.sa.3r,demersal,NA,74933,74933,NA,NA,0.342,2019,2019,NA,182590,NA,GREY
san.sa.4,demersal,NA,42526,42526,NA,NA,0.152,2019,2019,NA,169058,NA,GREY
san.sa.5r,demersal,NA,0,NA,NA,NA,NA,2019,2018,NA,NA,NA,GREY
san.sa.6,demersal,NA,0,NA,NA,NA,NA,2019,2018,NA,NA,NA,GREY
san.sa.7r,demersal,NA,0,NA,NA,NA,NA,2019,2018,NA,NA,NA,GREY
sbr.27.6-8,demersal,NA,125,124,1,NA,NA,2018,2017,NA,NA,NA,GREY
sck.27.nea,elasmobranch,NA,NA,0,NA,NA,NA,2019,2018,NA,NA,NA,GREY
sdv.27.nea,elasmobranch,NA,NA,3684,NA,NA,NA,2019,2018,NA,2.012,NA,GREY
